ApertureValue
Artist
BitsPerSample
BrightnessValue
ColorSpace
ComponentsConfiguration
Compression
Contrast
Copyright
CustomRendered
DateTime
DateTimeDigitized
DateTimeOriginal
DigitalZoomRatio
ExifIFD
ExifVersion
ExposureBiasValue
ExposureMode
ExposureProgram
ExposureTime
Flash
FlashPixVersion
FNumber
FocalLength
FocalLengthIn35mmFilm
GPSAltitude
GPSAltitudeRef
GPSDateStamp
GPSIFD
GPSImgDirection
GPSImgDirectionRef
GPSLatitude
GPSLatitudeRef
GPSLongitude
GPSLongitudeRef
GPSTimeStamp
GPSVersionID
ICCProfile
ImageDescription
ImageLength
ImageWidth
InteroperabilityIFD
InteroperabilityIndex
InteroperabilityVersion
IPTC
ISOSpeedRatings
JPEGInterchageFormat
JPEGInterchangeFormatLength
LensMake
LensModel
Make
MaxApetureValue
MeteringMode
Model
NewSubfileType
Orientation
PhotometricInterpretation
Photoshop
PixelXDimension
PixelYDimension
PlanarConfiguration
ResolutionUnit
RowsPerStrip
SamplesPerPixel
Saturation
SceneCaptureType
SceneType
SensingMethod
Sharpness
ShutterSpeedValue
Software
StripByteCounts
StripOffsets
SubjectDistance
SubjectDistanceRange
SubSecTime
SubSecTimeDigitized
SubSecTimeOriginal
WhiteBalance
XMP
XResolution
YCbCrPositioning
YResolution
