acrylic
agate
antler
bark
bone
bone (material)
carbon
ceramic
charcoal
clay
clinker
composition
coprolite
coral
crystal
dye
eggshell (animal material)
faience
feathers
film
fossil
frit
fur
glass
hair
hide
horn
intestine
ivory
lacquer
leather
metal
nut
obsidian
paint
paper
pitch
plant matter
plaster
plastic
quill (feather material)
quill (spine material)
resin
rubber
seed
shell
soil
stone
synthetic fiber
terracotta
textile
tooth
tooth (material)
twine
wood
