Care Instructions
digital copy only
Exhibition
Locality TBD
NAGPRA: associated funerary objects: TBD
NAGPRA: associated funerary objects: verified
NAGPRA: commingled items
NAGPRA: cultural patrimony: TBD
NAGPRA: cultural patrimony: verified
NAGPRA: Duty of Care Instructions
NAGPRA: human remains: TBD
NAGPRA: human remains: verified
NAGPRA: inquiry received
NAGPRA: notice published
NAGPRA: repatriated
NAGPRA: sacred/ceremonial objects: TBD
NAGPRA: sacred/ceremonial objects: verified
NAGPRA: unassociated funerary objects: TBD
NAGPRA: unassociated funerary objects: verified
potential accession
Priority A
Priority B
Provenance data approved
Visible to Injestr
