Agent
Artist
Discoverer
Donor
Editor
ex Herbarium
Exchanger
Graphics
Land Owner
Lender
Maker
Mounter
Owner
Painter
Photographer
Previous owner
Publications
Publisher
Purchaser
Received from
Recipient
Subject
Unknown
User
Vendor
