abbreviata
abbreviatus
acanthostoma
acaule
acicularis
acrita
acrostichoides
acuminata
acutecosta
acuteplicata
acutidens
acutifolia
acutiloba
adamsite
adenocaulis
Adoxina
adpressa
adriatica
adspersa
adularia
adusta
aequalis
aequinoctialis
aestivale
affinis
agaricites
agate
agnostica
agonus
agrestis
alabamensis
alabaster
alata
alatum
alatus
alba
albescens
albicans
albida
albiflora
albiracemus
alboradiata
album
alexandrite
algerite
alismellus
allophana
alpestre
alpha
alpicola
alpina
alpinum
alpinus
alternans
alticola
alticostata
alurgite
alvite
amazonite
ambigua
ambiguus
americana
americanum
americanus
amethyst
ametrine
amydia
anchista
andrewsii
androgyna
angelica
Angiospermae
angulosa
angulosum
angusta
angustata
angustatum
angustatus
angustifolia
angustifolium
angustifolius
angustissimus
angustum
angustus
anisocarpon
anomala
anomite
anthelatus
anthelina
anticostiensis
antillarum
antiplasta
antrimolite
aphthosa
Apiales
apicata
Apiidae
appressipilis
aprica
aquamarine
aquatica
aquaticum
aquaticus
aquatilis
aquilonia
aquilonius
arachnoideum
arborescens
arctica
arduinite
arenicola
areolata
argentata
argyphaea
arietina
arisaigensis
aristosa
aristulata
arkansite
armata
arundinaceum
ascendens
ascia
aspera
asperulum
asperus
asplenioides
aster
atlantica
atlanticus
atramentaria
attenuata
attenuatum
attenuatus
auklinensis
aurantiaca
auratus
auriculata
aurora
austinii
australe
australis
avalite
axillare
axillaris
bahiiforme
baileyana
baileyi
ballii
bandanus
barbatulus
barclayi
basiprotuberans
batchelorite
bellidiastrum
bentonite
bermudensis
beta
betulina
bidalotite
bifida
bigeloviana
bigelovii
billingsii
bilobata
biltmoreanum
binneyi
bipatens
biplicata
bissellii
blanda
blyttii
bolanderi
boottii
borealis
bowenite
brachyantha
brachyanthum
brachycalyx
brachycarpa
brachycoma
brachyloba
brachylobus
brachypoda
brachypodus
brachypus
brachyspora
brachystylus
bracteata
brainerdii
brandegeei
brasiliana
braunii
bravoi
braziliensis
breislakite
brevibracteata
brevibracteatus
brevicristata
breviculus
brevicuspidata
brevifolia
brevifolium
brevifolius
brevior
brevipes
brevis
breviscarpa
brevistrigillosa
breweri
bridgesii
brilonensis
brittonianum
broderipii
bromoides
bryophila
bryophilus
bullata
bupleuroides
bussaria
caerulea
caespitosa
calcaratum
calcicola
caldariorum
california
californica
californicum
callavei
callicoma
calvescens
calvifolia
calycosa
calycosus
calyculata
Campanulidae
campestris
camporum
cana
canadense
canadensis
canbyi
candida
canescens
capillacea
capillaris
capitata
capitatum
capitatus
caporcianite
carbonicum
carcar
cardotii
caribaea
carinata
carnosula
carolinensis
caroliniana
cassinite
cataractarum
catenata
caulescens
cayugensis
ceanothoides
cellulosa
centralis
cephalantha
cephalota
ceratina
cercida
chalcedony
chaleurensis
chapmanii
chemawinite
chileite
chlarona
chloromelanite
chlorophane
chlorophylla
chlorosum
chrysoprase
ciliare
circulare
cirrhosum
citrina
clathrata
clavaria
clavifera
claviformis
clavispica
cleiophane
clevelandii
clintoniana
clintonianum
coalescens
coaslescens
coilocarpa
colerainite
collophane
coloradense
coloradensis
colorata
Commelinidae
comosa
compacta
compactum
compactus
complan.
complanatus
complicatum
compressa
compta
conchicola
concinna
concinnoides
condensa
condensata
condensatus
conferta
confertus
confervoides
confluens
congesta
conglomeratum
conglomeratus
Coniferae
coniocraea
conjugens
conjuncta
connata
conspersa
contorta
contraversa
convoluta
cooleyi
copulata
cordata
cordatum
cordifolia
cordifolium
Cornoids
coronata
corrosa
corrugata
corrugatus
corymbiferum
costata
costulatus
coulteri
couseranite
crassa
crassicostatus
crassilabrum
crassior
crassiradiata
crassiretis
crassoides
creber
crebra
cribraria
crinitum
crispata
crispifolia
crispum
cruenta
crustula
cubense
cubensis
cucullata
cumingii
cuneata
cuneifolia
cuprea
Cupressophyta
cupulatum
curvulum
cusickiana
cusickii
cuvieri
cyrtolite
d.
dacotica
damourite
danae
danielensis
darrowii
debilis
decipiens
decumbens
decurrens
decussatum
degeroite
delisei
deltoidea
demantoid
dendritica
dendroideum
densa
dentata
denticulata
denudatum
depilata
depressa
depressus
detonsa
dianae
diandra
dianthopsis
diaphora
diffracta
diffusa
diffusus
digitalis
dilatatum
dipyre
discoidea
discoideus
discus
disjuncta
dissecta
dissona
distans
divaricata
diversifolia
dolichorhiza
dolichorrhiza
douglasiana
dowii
drummondiana
dubia
dudleyi
dumosa
duplex
eamesii
eatonii
echinatum
echinodes
edentatus
effusa
egglestonii
eglandulosus
elaeolite
elata
elatior
elatius
elatum
elatus
elegans
elephantinum
elevatum
elizabethia
elliptica
ellipticum
elodes
elongata
emarginata
emerald
enervis
engelmanni
engelmannii
englemanni
entermorpha
epilis
epilosa
epruinosa
eradiata
erdwachs
erecta
erectiuscula
ericifolia
errite
erythrella
erythrostoma
eucolite
Eudicotyledoneae
Euphyllophyta
eurycarpum
evoluta
evolutoides
exauriculata
excavata
excelsa
excelsior
exigua
exiguus
exilis
expansa
explanata
extraria
Fabidae
falcatus
falciformis
fallax
farinacea
fasciata
fasciculatum
fatius
faveolata
favulosa
faxonii
fendleri
fendleriana
fernaldii
ferristilpnomelane
ferrugineum
fertilissima
fettkei
fibrillosa
filescens
filiculmis
filifolius
filiformis
fimbriata
fimbriatum
firma
fischeroides
flabellum
flagellaris
flagellatus
flagellifera
flagelliforme
flavescens
flavida
flexilis
flexuosa
flexuosus
florida
floridana
floridanum
foetidum
foliis augustis
foliosissimum
foliosus
foraminosa
formosa
fowlerite
fragilis
franciscana
fraxinea
fremontii
fritcheyi
frondeus
frondosa
fructuosa
fruticosa
fuchsite
fuliginea
fulva
fulvum
fungina
funiculus
furfuracea
fuscatus
galalonensis
garberi
Garryidae
garvida
gaspensis
gattingeri
gelatinosa
gemmifera
genthite
Gentianidae
genuina
genuinus
geraniifolia
geronticus
ghiesbreghtii
gibbosa
gigantea
giganteum
giganteus
gilbertite
gilsonite
gilva
gilvocanescens
glabellus
glaber
glabra
glabrata
glabratus
glabrescens
glabrifolia
glabriusculum
glabriusculus
glabrum
glacialis
glandulosa
glauca
glaucescens
glaucifolia
glaucocarpa
glaucodea
glaucophylla
glaucum
globosum
globosus
glomerata
glossema
glutinosa
glyptus
gmatus
Gnetophyta
goshenite
goudlii
gouldii
gracile
gracilescens
gracilior
gracilis
gracillima
gramenite
gramineus
grande
grandiflora
grandis
granulata
granulatum
gravesii
gravida
grayana
greenei
greenii
griffithite
griffithsiana
grisebachiana
groenlandica
guadalupensis
Gunneridae
gynandra
hackmanite
haleana
hallii
halophilus
hamatum
hapalea
hargeri
hastata
hebecarpa
hebes
hebronite
heliodor
helminthoideum
helveola
hemisphaerica
herbiola
hessonite
heteranthus
heterolepis
heteromorpha
heterophylla
heterophyllum
heterotrichium
heuseri
hiddenite
hiemalis
hillii
hippiana
hirsuta
hirsutior
hirta
hirtella
hirtellum
hispida
hispidula
hispidum
hololeuca
hololeucum
holopetala
holzingeri
homotricha
hookeri
hooperi
horiza
horrida
horridulum
hortensis
hudsonite
humilis
huronensis
hyalite
hyalosiderite
hybridum
hypneoides
hypolasium
hypoleucum
hypopallida
hypotropa
idioandrosporum
ignobilis
ilicifolia
illinoensis
imbricans
imbricata
imitata
immaculata
immane
immersa
implexa
implexum
inaequilateralis
inalienum
incarnaus
incisa
incisoserratum
incisum
incisus
incomperta
inconspicua
inconspicuum
incrassata
incrustans
indica
indivisa
inequalis
inermis
inflata
innovans
inornatus
insignis
insulare
integerrimus
integra
integrata
integrifolia
integrifolium
interior
interjecta
intermedia
intermedium
intermedius
interrupta
intricata
inundata
inundatum
iodandra
iodocalyx
irregulateralis
iselyi
isidiascens
isidiata
isidioidea
islandica
isochroma
Isoetopsida
jacquiniana
jaliscense
jamaicensis
jamesii
jenkinsite
jesupii
joannianum
jucundum
jugosa
juncea
juncifolium
juratzkanum
kamacite
kennerlyi
keratophytum
kingii
kneiffii
knighti
kohalana
kotschyi
kukenthali
kunzite
kwanso
lacerata
laciniata
laciniatum
lacinulosiformis
lactiflorum
lacunosa
laetevirens
laeve
laevifolium
laevigatus
Lamiidae
lanceolata
lanceolatum
lancifolia
larimar
larsenii
lata
laterifructus
laticostata
latiflorus
latifolia
latifolium
latifolius
latifrons
latilobus
latisepala
latisquama
latiusculum
laxa
laxiflora
laxifolia
laxifolium
laxum
laysanensis
ledophyllus
leiocarpa
leiocarpum
leiocephalum
leiophylla
leonardii
leonhardite
lepidomelane
lepidotus
Leptosporangiatae
leptotes
leucantha
leucanthus
leuchtenbergite
leucocarpa
leucomela
leucophaea
leucotropa
leverrierite
levis
leviuscula
ligulata
liljebladii
lillite
limitaneus
linchengensis
lindheimeri
linearifolia
linearifolium
linearifolius
lineariloba
linearis
lineata
Linnina
linoides
lintonite
littoralis
lobata
lobatus
lobulata
loculata
longiarticulatum
longiflorus
longifolia
longifolius
longipedunculata
longipes
longipilis
longisiliquosa
longispina
lophyra
