Bionomia
DOI
GBIF
GeoNames_EQUIVALENT
GeoNames_EQUIVALENT_RESTRICTED
GeoNames_PART_OF
GeoNames_PLACE_BIRTH
GeoNames_PLACE_DEATH
ORCID
UUID4
Wikidata
