Akkadian
Arabic
Aramaic
Egyptian hieroglyphic
Elamite
Greek
Hattic
Hebrew
Hittite
Hittite hieroglyphic
Hurrian
Judeo-Aramaic
Mandaic
Pahlevi
Persian
Qatabanian
Subarian
Sumerian
uncertain
