agate
alabaster
amber
amethyst
basalt
brass
bronze
calcite
carnelian
chalcedony
copper
diorite
faience
feldspar
gold
granite
gypsum
hematite
iron
jade
jasper
lapis lazuli
lead
limestone
limonite
magnetite
marble
mineral
nephrite
obsidian
onyx
porphyry
quartz
rock
sardonyx
schist
serpentine
silver
steatite
steel
turquoise
