avi
gif
jpeg
mp4
msaccess
msword
pdf
plain
png
quicktime
tiff
vnd.ms-excel
vnd.ms-excel.sheet.macroEnabled.12
vnd.openxmlformats-officedocument.presentationml.presentation
vnd.openxmlformats-officedocument.spreadsheetml.sh
vnd.openxmlformats-officedocument.spreadsheetml.sheet
vnd.openxmlformats-officedocument.wordprocessingml
vnd.openxmlformats-officedocument.wordprocessingml.document
wav
x-ms-wma
x-ms-wmv
x-unknown
x-zip-compressed






