bezel inlay
bezel inlay (mounted in ring)
cone-shaped
figural
figural (bull-shaped)
figural (duck-shaped)
figural (fox-shaped)
figural (human-shaped)
figural (lion-head-shaped)
gable-shaped
handle-shaped
hemispherical
hemispherical (almond shaped)
hemispherical (disc-shaped)
hemispherical (dome)
hemispherical (flattened cylinder)
hemispherical (half cylinder)
hemispherical (lentoid)
pebble-shaped
plaque-shaped (disc-shaped)
plaque-shaped (rectangular)
plaque-shaped (square)
plaque-shaped (triangular)
pyramid-shaped
ring-shaped
scarab
scarab-shaped
