allotype
allotype?
apotype
cotype
cotype?
gynetype
gynetype?
holotype
holotype?
homoeotype
hypodigm
hypodigm?
hypotype
hypotype?
isoepitype
isolectotype
isolectotype?
isoneotype
isoparatype
isosyntype
isotype
isotype?
lectotype
lectotype?
MS name
MS name?
neoparatype
neotype
neotype?
paracladotype
paralectotype
paralectotype?
paratype
paratype?
PL-cotype
plesiotype
plesiotype?
PL-holotype
PL-hypotype
PL-paratype
PL-syntype
syntype
syntype?
topotype
topotype?
type
type (status not researched)
type?
typodigm
voucher
