Accelerator mass spectrometry dating
Compositional analysis
CT Scan
Diffuse reflectance infrared spectroscopy (DRIFTS)
Dissection for gonad study
DNA analysis
Energy-dispersive X-ray spectrometer (EDS)
Experimental
Isotopic analysis
NAA
Osteological
Particle-induced X-ray emission spectrometry
Preparation
Radiocarbon dating
Raman spectroscopy
Refiring analysis
Residue analysis
Rheology
SEM
Synchrotron
Thermographic analysis
Thin section analysis
X-ray
X-ray diffraction (XRD)
X-ray flourescence analysis (XRF)
