3D print
associated funerary object
attached part
cast of specimen
cast(s) of elements of this specimen used in the creation of
component of composite mount/restoration
composite mount/restoration
duplicate cast
duplicate cast of part of specimen
duplicate cast which includes this specimen
duplicate catalog number
duplicate catalog number?
egg
endobiont
epibiont
found in same bucket
found in same jar
from same drawer
from same original lot
from same tray
habitation
host
in same nest
in same vial
inhabitant
mate
model
nest
nestling
offspring
on same SEM stub
on same slab
on same slide
on same substrate
original from which cast was made
original label stored with this specimen
other
overgrowth
parasite
parent
part
part of same specimen
part of same specimen?
predator
prey
replicate
same
same sheet
same specimen
same specimen?
sibling
skeletal preparation from same lot
skin and skeleton of same specimen
symbiont
thin section/acetate peel (multi-specimen
undergrowth
