2
3
4
5
6
12
14
15
18
21
84
04S
100N
100W
101N
101W
102N
103N
109N
10N
10S
112W
11N
11S
126N
127N
128N
129N
12N
12S
130N
131N
132N
133N
134 N
134N
135N
137N
138N
139N
13N
13S
140N
141N
142N
144N
145N
146N
148N
14N
14S
153N
15N
15S
16E
16N
16S
17N
17S
18N
18S
19N
19S
1N
1S
20N
20S
21N
21S
22N
22S
23N
23S
24N
24S
25N
25S
26N
26S
27N
27S
28N
28S
29N
29S
2N
2S
30N
30S
31N
31S
32N
32S
33N
33S
34N
34S
35N
35S
36N
37N
37S
38N
39N
3N
3S
40N
40S
41N
41S
42N
42S
43N
44N
45N
46N
47N
48N
49N
4N
4S
50N
51N
52N
53N
54N
55N
56N
57N
58N
59N
5N
5S
60N
61N
62N
62W
63N
63W
64N
64W
65N
67N
69N
6N
6S
70N
71N
72N
73N
75N
77N
7N
7S
80N
85N
86N
8N
8S
91N
92N
93N
94N
95N
96N
98N
99W
9N
9S
T20S
T31N
T31S
T57N
T5S
T8N
