Biogeomancer
"Buchwald, 1975"
Canada Toporama
Carlsberg Institute
fallingrain.com
field map
FishNet
GEOLocate
getamap.net
Google Earth
Google Maps
GPS unit
HerpNET
Meteoritical Society
mindat.org
mineralienatlas.de
National Marine Fisheries Service
NEVP
NOAA
NY Zoological Society
Original figure mapped to GIS
papua-insects.nl
publication
smartphone
specimen label
Systematic Ecology Program MBL
topographic map
Topozone
Trails.com
UK Ordnance Survey
unknown
unspecified
US Fish Commission
USA State Digital Data Resource
USA TIGER 2014 Census
USGS National Map
VertNet
wikipedia.com
