"""Illinois Dolostone"""
Lockport Fm
Lofochai Fm
Logan Fm
Logansport Ls
Logansport ls
London Clay
London Clay Fm
Long Beards Riffs Ss
Long Point Fm
Longmeadow Ss
Longwood Sh
Lonsdale Ls
Lopez de Bertodano Fm
Lopez De Bertodano Fm
Lorraine Grp
Lorraine Sh
Los Colorados Fm
Los Guachos Fm
Lossiemouth Ss
Louisiana Ls
Louisville ls
Louisville Ls
Lourinh?
Lower Admiral Fm
Lower Allegheny Fm
lower Blufftown Fm
Lower Boonton Fm
Lower Brule Fm
Lower Brunswick Fm
Lower Brunswick Fm?
Lower Buda Ls
Lower Chalk
Lower Chalk Fm
Lower Cornbrash
lower Cumnock Fm
Lower Dakota Fm
Lower Fezouata Fm
Lower Fort Terrett Fm?
lower Fox Hills Fm
Lower Glen Rose Fm
Lower Gray Bull Fm
Lower Green River Fm
Lower Greensand
Lower Greensand Fm
lower Harrison Fm
Lower Harrison Fm
Lower Headon Beds
Lower Helderberg Grp
lower Hell Creek Fm
Lower Hudson
Lower Huronian
Lower John Day Fm
Lower Judith River Fm
Lower Kaskaskia Ss
Lower Kirtland Fm
Lower Ktaoua Fm
Lower Lebo Fm
Lower Lias
Lower Limestone Shales
Lower Lockatong Fm
Lower Ludlow Sh
lower Mifune Fm
Lower Navesink Fm
Lower Old Red Sandstone
lower Oolite
Lower Oolite
Lower Passaic Fm
Lower Pierre Sh
lower Pomquet Fm
Lower Porma Fm
Lower Portland Fm
Lower Productus Ls
Lower Sheep Creek Fm
lower Shuttle Meadow Fm
lower Tatman Fm
Lower Tulare Fm
Lower Valentine Fm
lower Villavieja Fm
Lower Visby Fm.
Lower Willwood Fm
Lower Wise
Lower Wolfville Fm
Lower? Bridger Fm
Lowville Fm
Lowville Ls
Ludlow Ls
Ludlowville Fm
Ludlowville Fm?
Ludlowville Sh
Lu-shi Fm
Lykta Fm
Lyne Fm
Lyons Ss
Maboko Fm
Macasty Fm
Macasty Sh
Machias Sh
Madera Fm
Madison Ls
Madrid Fm
Madygen Svita
Maevarano Fm
Magdalena Fm
Magdalena Grp
Magdalena Ls
Magnesian Ls
Magnesium Ls
Magnesium Ss
Magothy Bed
Magothy Fm
Magothy Fm?
Mahantango Fm
Main Street Fm
Main Street Ls
Majurgong Fm
Makasty Sh
Malham Fm
Malm
Malm alpha
Malm beta
Malm epsilon
Malm gamma
Mampuwordu Sands
Manasquan Fm
Manasquan Fm?
Manassas Fm
Mancos Sh
Mandagery Ss
Manitou Fm
Manlius Fm
Manlius fm
Manlius Limestone
Manlius Ls
Manlius Ls?
Manllius fm
Mannum Fm
Mansfield fm
Manuels River Fm
Maoehrkou Ls
Maokou Ls
Mapepe
Maple Hill Ls
Maplewood Sh
Maquoketa Fm
Maquoketa Sh
Marada Fm?
Maragheh Fm
Maragheh Fm?
Marathon Ls
Maravillas Ch
Marble Canyon Ls
Marble Falls Ls
Marcellus Fm
Marcellus Sh
March Point Fm
Marcillus Shale
Mariana Ls
Marianna Ls
Marias River Sh
Marietta Ss
Marion Fm
Marjum Fm
Marlbrook Marl
Marlstone
Marlstone Rock
Marmaton Grp
Maroon Fm
Marree Fm
Marsh Point Fm
Marshall Fm
Marshalltown Fm
Marshalltown Fm?
Marsland Fm
Martin Fm
Martinsburg Fm
Martinsburg Sh
Marvin Creek Ls
Mascall
Mascall Fm
Mascall Fm?
Matawan Fm
Mattoon Fm
Mauch Chunk Sh
Mauri Fm
Mauri Fm?
Mawry Fm
Maxner Ls
Maybelle Fm
Mayes Fm
Maysville Fm
Maysville Grp
Mayville
McAdam Brook Fm
McAdam Fm
McAlester Fm
McCloud Ls
McCoy Brook Fm
McCoy Fm
McKenzie Fm
McKissick Grove Fm
McLean Fm
McLeansboro Fm
Mcleansboro Fm
McLeansboro Grp
McLish Fm
McManus Fm
McMicken Fm
McMillan Fm
McRae Fm
Meadville Sh
Meaford Fm
Meagher Ls
Medicine Bow Fm
Medina Ss
Meek Fm
Meeteetse
Meeteetse Fm
Megrane Fm
Melville Fm
Menard Ls
Menevian
Meniscus
Meniscus Grp
Merced Fm
Merchantville Fm
Merriam Ls
Mesa Verde Group
Mesaverde Fm
Mesaverde Fm?
Messel Fm
Metchosin Volcanics
Mettawee Slate
Meudon Chalk
Miami Fm
Miaokou Ls
Miatchkova Ls
Mickwitzia Ss
Middle Cambrian
Middle Chadron Fm
Middle Chalk
Middle Headon Beds
middle John Day Fm
Middle Lias
Middle Nubian Ss
Middle Old Red Sandstone
Middle Oolite
Middle Park Fm
middle Pekin Fm
Middle Polecat Bench Fm
Middle Port Hood Fm
middle Portland Fm
Middle Willwood Fm
Middlesex Sh
Mifflintown Fm
Miller Ls
Millers Ss
Millsap Lake Fm
Millstone Grit
Milton Dol
Mineral Wells Fm
Mingan Fm
Mingus Sh
Minnekahta Ls
Minnelusa Fm
Minnelusa Fm?
Mint Spring Fm
Minto Formation
Missiquoi Fm
Missisquoi Fm
Mississinewa Sh
Missoula Grp
Mistaken Point Fm
Mjosa Ls
Modesto Fm
Moenkopi Fm
Mohawkian
Molasse Fm
Monmouth Fm
Monmouth Fm?
Monongahela
Monongahela Fm
Monroe Creek Fm
Mons Fm
Monte Hermoso Fm
Monteagle Ls
Monterey Fm
Montour Sh
Moodys Branch Fm
Moonstone Beach Fm
Moorefield Fm
Mooreville Fm
Moose River Fm
Moran Corner Wl
Moran Fm
Moreland Sh
Moreno Fm
Morgan Ls
Morrison
Morrison Fm
Morrison Fm?
Morrow Fm
Morrow Ls
Moscow Fm
Moscow Sh
Motol Fm
Mount Eden Fm
Mount Head Fm
Mount Joli Fm
Mount Laurel Fm
Mount Marion Fm
Mount Selma Fm
Mount Toby Fm
Mount Whyte Fm
Mountain Ls
Mowry Sh
Mowry Sh?
Moydart Fm
Mt. Brown Ls
Mt. Toby Cgl?
Mt. Whyte Fm
Muav Ls
Mucronatenkreide
Muddy Ss
Mulde Fm
Mule Spring Fm
Mulky Coal
Murphy Creek Fm
Muschelkalk
Musters Fm
Nacatoch Sand
Nacimiento Fm
Nadaleen Fm
Nagri Fm
Nagri Fm?
Naheola Fm
Namba Fm
Nanfalia Fm
Nanjemoy Fm
Nao-mu-gen Fm
Nash Fm
Nassau Fm
Nation River
Navajo Ss
Navarro Fm
Navesink Fm
Navesink Fm?
Neahga Sh
Neal Ranch Fm
Nealranch Fm
Needmore Sh
Nellei Bly Fm
Nellenkîpfchen Fm
Nellie Bly Fm
Nelson Fm
Nemegt Fm
Neocomian
Nepean Fm
Neuville Fm
Neva Ls
New Albany Sh
New Egypt Fm
New Haven Arkose
New Oxford Fm
New Providence Sh
New Scotland
New Scotland Fm
New Scotland Ls
Newland Ls
Newmarracarra Ls
Newton Creek Ls
Niagara Chert Beds
Niagara Dol
Niagara Grp
Niagara Ls
Niagara Sh
Nicolet Fm
Nile Slts
Ninemile Fm
Niobrara
Niobrara Chalk
Niobrara Fm
Niobrara fm?
Niobrara Formation
Nittany Dol
Nolans Ls
Nolichucky Sh
Norfolk Fm
Normanskill Fm
Normanskill Sh
North Horn Fm
Northeast Sh
Northview Sh
Northview Ss
Norton
Norway Point Fm
Norway Point Fm?
Norwich Crag
Norwich Crag Fm
Norwich Crag Fm.
Nosoni Fm
Notch Peak Fm
Notha Beds
Nounan Ls
Nova Ls
Nummulite Ls
Nummuliten Kalk
Nunda Ss
Nung-shan Fm
Oatka Wl
Ocala Ls
Ogallala Fm
Ogallalla Fm
Ogdensburg Dol
Ohio Sh
Oil Creek Fm
Ojo Alamo Ss
Olcese Sand
Olcott Fm
Old Bank Fm
Old Red Sandstone
Old Red Ss
Oldman Fm
Olentangy sh
Olenus Sh
Olive Hill Fm
Olney
Olney Ls
Oneonta Fm
Oneonta Ss
Oneota Dol
Onondaga Ls
Onondaga Ls?
Onondagan
Oolite
Opeche Fm
Ophir Fm.
Oquirrh Fm
Orangeville Sh
Orangeville Sh?
Orchard Creek Sh
Oread Ls
Oriskany Fm
Oriskany Ss
Oriskany Ss.
Oriskany Ss?
Orr Fm
Orthoceras Ls
Osgood Sh
Oswayo Fm
Oswayo Fm?
Oswego Ss
Otisco Sh
Owl Creek Fm
Oxbow Dol
Oxford Clay
Oxfordian
Ozan Fm
Pacoota Ss
Paffrath Ls
Paget Fm
Paint Creek Fm
Palo Pinto Ls
Palos Verdes Sand
Paludina Bed
Paludina Sh
Paluxy SS
Pamelia Fm
Pamelia Ls
Pamlico Fm
Pampean Fm
Pankou Ls
Panther Mountain Fm
Parachilna Fm
Paradise Fm
Paradoxides sh
Paradoxides Sh
Parisian Lower Sands
Parker Bog Fm
Parker Slate
Parrsboro Fm
Parrsboro Fm?
Parsons Point Fm
Paskapoo Fm
Paso Hondo Fm
Passage Beds
Passaic Fm
Passamari Fm
Patapsco Fm
Patuxent Fm
Pautut Fm
Paw Paw Fm
Pawhuska Ls
Pawnee Creek Fm
Pawnee Ls
Peach Bottom Slates Fm
Pecan Gap Fm
Peebles Dol
Peedee Fm
Pegram Ls
Pekin Fm
Pendleside Ls
Penfield Dol
Pequop Fm
Peracas Fm
Perce Rock Beds
Percha Sh
Perrysburg Fm
Peruc-Korycany
Peruc-Korycany Formation
Pestrotsvet Fm
Petoskey fm
Petoskey Ls
Petosky Fm
Petosky fm
Petrolia Fm
Phi Kappa Fm
Phosphoria Fm
Phosphorite of Villeneuve
Piasa Ls
Piawa Ls
Pico Fm
Pierce Ls
Pierre Sh
Pierre Shale
Pierson Point Sh
Pike Arm Fm
Pikermi Fm
Pilgrim Dol
Pilot Sh
Pinjor Fm
Pioche Fm
Pioche Sh
Piper Fm
Pitkin Ls
Pittsburg Bluff Fm
Pittsford Sh
Placid Sh
Plastic Clay
Plattesville Ls
Platteville Fm
Platteville Ls
Plattford Sh
Plattin Ls
Plattsburg Fm
Plattsburg Ls
Plattsmouth Ls
Pleasant Mills Fm
Pleasanton Fm
Pleasanton Sh
Point Addis Ls
Point Edward Fm
Polecat Bench
Polecat Bench Fm
Polecat Bench Fm?
Poleta Fm
Pomquet Fm
Pondaung Fm
Pony Creek Sh
Pools Cove Fm
Port Hood Fm
Port Vincent Ls
Portal Fm
Porters Creek Fm
Portersville Ls
Portland Fm
Portland Ls
Portland Sands
Posidonia Sh
Potomac Fm
Potosi Dol
Potsdam Ss
Potter Farm Fm
Potter Farm fm
Pottsville Fm
Pound Qtzite
Powell Fm
Power Glen Sh
Poxono Island Fm
Prairie Bluff Chalk
Prarie Bluff Fm.
Prattsburg Ss
Presque Isle Fm
Presumpscot Fm
Price Fm
Productus Ls
Prout Ls
Provencian
Ptarmigan Fm
Ptarmigan Ls
Pueblo Fm
Pulaski Fm
Pulaski Sh?
Pungo Fm
Pungo River Fm
Purbeck Limestone Fm
Purgatoire Fm
Purisima Formation
Purple Ss
Puskwaskau Fm
Put-in-Bay Fm
Putjangan Fm
Putnam Fm
Putnam Hill Ls
Qasr el Sagha Fm
Qasr el Sagha Fm?
Qasr el-Sagha Fm
Qasr el-Sagha Fm?
Qasr-el-Sagha Fm
Quadersandstein
Quadratenkreide
Quall Ls
Quan Kasa Fm
Quebec Grp
Quivira Fm
Racine Dolomite
Raibl Fm
Rainvalley Fm
Ramona Fm
Ramparts Fm
Ramparts fm
Ramparts Ls
Rancho La Brea
Rancocas Grp
Ranger Ls
Raritan
Raritan Fm
Raritan Fm?
Raton Fm
Rattlesnake Fm
Ravenscrag Fm
Rawnsley Qtz
Rawnsley Qtzt
Raytown Ls
Reading Ls
Reagan Ss
Red Alpen Ls
Red Bank Fm
Red Bluff Fm
Red Crag
Red Crag Fm
Red Crag Fm.
Red Crag?
Red Eagle Ls
Red Gravel
Red Lion Fm
Red Mountain Fm
Red River Fm
Redesdale Ironstone Sh
Redmond Fm
Redonda Fm
Redonda Fm?
Redwall Ls
Reedsville Fm
Reklaw Fm
Renault Ls
Renova Fm
Renova Formation
Reuchenette Fm
Reynales Limestone
Reynales Ls
Rhaetic Beds
Rhaetic Ss
Rhinestreet Fm
Rhode Island Fm
Rhode Island Formation
Ricardo Fm
Riceville Sh
Rich Fountain Fm
Richmond Fm
Richmond Grp
Ricker Ls
Ridenhower Fm
Ridgeley Ss
Ridgetop Sh
Ridley Ls
Riepe Spring Ls
Riepetown Fm
Ringold Fm
Rio Chico Fm
Rio Colorado Fm
Rio NeuquÇn Fm
Ripley Fm
Rittersturz Fm
River Bend Fm
Roca Sh
Rochester Sh
Rock Bluff Ls
Rock Lake Sh
Rock Levee Fm
Rock Stream Fm
Rockford Sh
Rockhouse Sh
Rockland Fm
Rockland Fm?
Rockland ls
Rockledge Cgl
Rockport Quarry Ls
Rockwood Fm
Rocky Bay Fm
Rodert Fm
Rogers City Ls
Rogersville Sh
Romaine Fm
Rommersheimer Sh
Romney Sh
Rondout Fm
Rondout Fm?
Root Fm
Rootsikula Fm
Rosario Fm
Rose Hill Fm
Ross Brook Fm
Rotliegend Ss
Rott Fm
Rotten Limestone
Rotten Ls
Roxton Limestone
Rudistes Chalk
Rulo Ls
Rundle Fm
Running Water Fm
Runningwater Fm
Rush Springs Fm
Rushford Ss
Rushing Creek Ch
Rust Fm
Rysedorph Cgl
Sabden Sh
Sables Ö TÇrÇdines et Unios Fm
Sables de Beauchamp Fm
Saddle Creek Ls
Sage Creek Fm
Saginaw Fm
Saint Louis Ls
Salamanca Cgl
Salder Fm
Salem Ls
Salem School Ls
Salina Fm
Salla Beds
Saltwick Fm
Saluda Fm
Saluda Ls
San Andres Fm
San Andres ls
San Andres Ls
San Cayetano Sh
San Diego Fm
San Joaquin Fm
San Jose Fm
San Jose Fm?
San Pedro Fm
San Sebastian Fm
Sand Draw Fm
Sandia Fm
Sanford Fm
Sanga do Cabral Fm
Sannine
Sannine Ls
Sannoisian
Santa Barbara Fm
Santa Cruz Fm
Santa Cruz Fm?
Santa Margarita Fm
Santana Fm
Santee Fm
Saratoga Chalk
Sarbach Fm
Sarka Beds
Saw Mill Creek Sh
Sawmill Creek Sh
Sawtooth Fm
Saxicava Cl
Scajaquada Fm
Scajaquada Ls
Scalby Fm
Schenectady Fm
Scherrer Fm
Schoharie Fm
Schoharie Grit
Schoolcraft Dol
Schwarzrand Fm
Scollard Fm
Sconondoa Fm
Scots Bay Fm
Scotty Wash Fm
Scranton Sh
Seboomonk Fm
Seboomook Fm
Sellersburg Ls
Selma Chalk
Selma Grp
Seltersberg Fm
Seminole Fm
Senonian
Senora Fm
Sequatchie Fm
Severn Fm
Severy Sh
Sexton Creek Ls
Shalia Beds
Shang-hu Fm
Shara Murun Fm
Shark River Fm
Sharps Fm
Sharps Hill Beds
Sharps Hill Fm
Sharp's Hill Fm
Sharpsville Ss
Shasta series
Shawangunk Cgl
Shawangunk Fm
Shawnee Grp
Sheep Creek Fm
Sheep Creek Fm?
Sheffield Sh
Sheldon Ls
Shell Creek Sh
Shell Ls
Shell Rock Fm
Shell Rock fm
Shellrock fm
Shelve Formation
Shenandoah Ls
Shenango Fm
Sherman Fall Fm
Shipai Sh
Shi-san-jian-fang Fm
Shoal River Fm
Shore Hills Geosol
Shoreham Fm
Shoreham Fm?
Shuttle Meadow
Shuttle meadow
Shuttle Meadow Fm
Shuurgat Fm
Sica Sica Fm
Siegenian
Sierra Madre Ls
Signal Mountain Fm
Silica Sh
Silver Lake Sh
Silverdale Fm
Simonson Dol
Simpson Fm
Sinap Fm
Sinsk Fm
Siq Ss
Siquire Fm
Siwalik Series
Siyeh Ls
Skaneateles Fm
Skaneateles Sh
Skiddaw Slate
Skillogalee Dolomite
Skull Creek Sh
Slide Mountain Fm
Slite Group
Sly Gap fm
Smithville Fm
Smithwick Sh
Snake Creek Fm
Snake Creek Fm?
Snaky Canyon Fm
Sneedville Ls
Snow Hill Island Fm
Snyder Creek Fm
Snyder Creek Sh
Snyderville Sh
Sodus Sh
Soldier Creek Sh
Solnhofen Ls
Solnhofen Series
Solsville Fm
Sooke Fm
Sosio Ls
Soudley Ss
Souris River Fm
South Bend Ls
South Bend Sh
South Britain Formation
South Platte Fm
Southampton Fm
Southgate
Spaniard Creek Ls
Spergen Ls
Spider Lake Fm
Spirifer Ss
Spokane Fm
Spokane Sh
Spoon Fm
Springer Fm
Springer Fm?
Squaw Bay Ls
St Marys Fm
St Peter Ss
St. Albans Sh
St. Albans Slate
St. Cassian Beds
St. Charles Ls
St. Clair Fm
St. Clair Ls
St. Croix Ss
St. Georges soil
St. Johns Grp
St. Lawrence Fm
St. Louis Ls
St. Louis Ls?
St. Mary Fm
St. Marys Fm
St. Peter Ss
St. Peters Ss
Stadtfeld Fm
Staff ls
Stanton Fm
Stanton Ls
Stanton Ls Mbr
Stark Fm
State Quarry ls
Stearns Sh
Stephen Fm
Steuben Ls
Stewartsville Dolo
Stine Sh
Stirling Range Fm
Stjordalen Fm
Stockton Fm
Stokes Fm
Stone City Fm
Stonehouse Fm
Stoner Ls
Stonesfield Slate
Stoneville Fm
Stonington Fm
Stotler Ls
Straight Cliffs Fm
Straight Cliffs Ss
Stranger Fm
Strathearn Fm
Strawn Fm
Strawn Grp
Stringocephalus Ls
Stull Sh
Stump Fm
Stuores Mergel
Suessonian B
Sugar River Ls
Sugar Run Fm
Sulphur Springs Fm
Sunblood Fm
Sundance Fm
Sunderland Fm
Supai Fm
Suwannee Ls
Swan Peak Fm
Swasey Fm
Sweetsburg Fm
Swope Fm
Swope Ls
Sycamore Ls
Sylvan Sh
Syracuse Fm
Syracuse Salt
Table Cove Fm
Table Creek Sh
Table Head Fm
Tacket Fm
Tahara Fm
Taishir Fm
Taiyun Series
Tai-zi-cun Fm
Talbot Fm
Tallaharta Fm
Tallahatta Fm
Talud Sh
Tamiami Fm
Tampa Ls
Tanner Grauwacke
Tapeats Ss
Tapley Hill Fm
Tarannon Sh
Tarija
Tarkio Ls
Tarratine Fm
Tatman Fm
Tatrot Fm
Taylor Marl
Tecumseh Sh
Teepee Trail Fm
Tejon Fm
Telcott Fm
Telegraph Creek Fm
Temblor Fm
Temblor Fm?
Tendaguru Fm
Tensleep Ss
Tentaculite ls
Tepee Trail Fm
Tepee Trail Fm?
Teslin Fm
Tesnus Fm
Tessey Ls
Tesuque Fm
Thacher fm
Thacher fm.
Thaynes Ls
Thebes Ss
Theodosia Fm
Theresa Dol
Thermopolis Sh
Third Lake Fm
Thorold Ss
Thousand Creek Fm.
Three Forks Sh
Thrifty Fm
Thunder Bay Ls
Thurman Ss
Tidioute Sh
Tiffany Fm
Timber Creek Beds
Timms Point Silt
Timranrhart Fm
Tinton Fm
Tinton Ss
Todilto Ls
Tofta Fm
Tomhegan Fm
Tongue River Fm
Tonoloway Ls
Topanga Fm
Topeka Fm
Topeka Ls
Topsail Head Ls
Toroweap Fm
Torpedo Fm
Torquay Ls
Towaco Fm
Towaco Fm?
Town Hill Fm
Travis Peak Fm
Trelew Fm
Tremadoc
Tremadoc Sh
Trempealeau Fm
Trempealeu Fm.
Trent Marl
Trenton
Trenton Falls
Trenton Fm
Trenton Grp
Trenton Ls
Trenton Ls.
Trenton Ls?
Tres Hermanos Fm
Triangle Fm
Tribes Hill Fm
Tribes Hill Ls
Trinity Sand
Trinnel Sh
Trinucleus Sh
Trogkofelkalk
Tropic Sh
Trout Valley Fm
Ts'anglaup'a Fm
Tuckahoe Fm
Tukhum Fm
Tulare Fm
Tule Fm
Tullock Fm
Tully Ls
Tumen Sh
Tung Gur Fm
Turkana Grit
Turner Falls Ss
Turners Falls Ss
Turners Falls Ss?
Turonian
Tuscahoma Fm
Tuscahoma Fm?
Tuscarora Qtzt
Tuy Fm
Tvillingodden Fm
Two Medicine Fm
Two Medicine Fm?
Tyler Fm
Tymochtee
U. Chrysler Ls
Uinta Fm
Uinta Fm?
Ulan Shireh Fm
Umpqua fm.
Unadilla Fm
Undivided Fruitland Fm-Kirtland Shale Fm
Upham Fm
Upper Admiral Fm
"Upper and Lower Fezouata formations, undifferentiated"
Upper Atane
Upper Bear Formation
Upper Beaufort Fm
Upper Becerra Fm
upper Blomidon Fm
Upper Boonton Fm
Upper Brule Fm
Upper Brunswick Fm
Upper Chadron Fm
Upper Chalk
Upper Chinle Fm
Upper Cumnock Fm
Upper Dakota Ss
Upper Dogger Fm
Upper Edmonton
upper Edmonton Fm
Upper Feltville Fm
Upper Fezouata Fm
Upper Fort Union Fm
Upper Freeport Coal
Upper Fullers Earth Clay
Upper Gault
Upper Golden Valley Fm
Upper Greensand
Upper Greensand Fm
Upper Harpersville Fm
Upper Harrison Fm
Upper Headon Beds
Upper Helderberg Grp
Upper Huronian
Upper Javelina Fm
Upper John Day Fm
Upper Judith River Fm
Upper Kirtland Fm
Upper Kirtland Shale
Upper Lance Fm
Upper Lane Sh
Upper Lias
Upper Lockatong Fm
Upper Malm
Upper Meeteetse Fm
Upper Mehrten Fm
Upper Merchantville Fm
Upper Middle Boonton Fm
Upper Moenkopi Fm
Upper Monterey Fm
upper Morrison Fm
Upper Mount Laurel Fm
Upper Old Red Sandstone
Upper Oolite
upper Parrsboro Fm
Upper Passaic Fm
Upper Polecat Bench Fm
Upper Polecat Bench Fm?
Upper Portland Fm
upper Shanghu Fm
Upper Stockton Fm
Upper Tiouririne Fm
Upper Visby Fm
Upper Williamsville Fm
Upper Willwood Fm
Upper Wolfville Fm
Upper Wolfville Fm?
Uppermost Mount Laurel Fm
Uppermost Polecat Bench Fm
uppermost Tuscahoma Fm
Uppermost Willwood Fm
Urfer
Urgonian
Usk Limestone
Usk Ls
Ute Ls
Utica
Utica Sh
Utsingi Fm
Vaginaten Ls
Valcour Ls
Valentine Fm
Vallender Schichten
Vamoosa Fm
Vanport Ls
Vaqueros Fm
Vardebukta Fm
Vaureal Fm
Vaureal fm
Vectis Fm
Velbert Fm
Venango Fm
Verdigris Fm
Vermejo Fm
Vernon Fm
Vernon Sh
Vernon Shale
Verulam Fm
Vicksburg Fm
Victorio Peak Ls
Vidrio Fm
Vikingh?gda Fm
Vilas Sh
Villavieja Fm
Vincentown Fm
Vinita Sh
Vintage Dol
Viola Ls
Visby Fm
Volusia Sh
Wabash Fm
Wabaunsee
Wabaunsee Fm
Wabaunsee Grp
Wabi Fm
Waccamaw Fm
Wachsmuth Ls
Wadi Tammet Fm
Wahweap Cliffs Ss
Wakarusa Ls
Wakarusa Ls?
Walchow Fm
"Walchow, Glauconite Ls, B2"
Waldrip Fm
Waldron
Waldron Sh
Waldron Sh?
Walnut Clay
Walnut Clay?
Walnut Fm
Walsingham Fm
Wang-hu-dun Fm
Wann Fm
Wanwankou Dolomite
Wapanucka Ls
Wapanuka Ls
Wapiti Fm
Wapsipinicon Ls
Wardell Fm
Warsaw Fm
Warsaw Ls
Warsaw Ls?
Warsaw Sh
Wasatch Fm
Washakie Fm
Washakie Fm?
Washington Fm
Washingtonville Sh
Watchung Fm
Water Canyon Fm
Waterfall Fm
Waterlime Grp
Watertown Ls
Waterville Fm
Waterways Fm
Waukesha Ls
Waverly Fm
Waverly Grp
Wayan Formation
Wayland Fm
Wayland Sh
Wayland Sh Fm
Wayne Fm
Waynesboro Fm?
Waynesburg Fm
Waynesville Fm
Waynesville Sh
Wealden Clay
Wealden Fm
Webb Fm
Weber Fm
Webo Formation
Weches Fm
Weeks Fm
Weiser Fm
Weiss Berg layer
Weiss Jura beta
Wellenkalk
Wellington Fm
Wells Fm
Wenlock Ls
Wenlock ls
Weno Ls
Wenonah Fm
Werfen Beds
West Bay Fm
West Branch Sh
West Falls Fm
West Falls Fm.
West Hill Fm
West Point Fm
West River Sh
West Spring Creek Fm
Westbury Fm
Westerville Ls
Westfield Sh
Weston Sh
Wetumka Sh
Weverton Qtzite
Wewoka
Wewoka Fm
Wewoka Shale
Wheeler Fm
Wheeler Fm.
Wheeler Sh
Whetstone Gulf Fm
Whirlpool Ss
White Chalk
White Head Fm
White Jura
White Jura alpha
White Jura Beta
White Jura Delta
White Jura Epsilon
White Jura Gamma
White Jura Zeta
White Limestone Fm
White River Fm
Whitefish Bay Ls
Whitehead Fm
Whitehorse Ss
Whitesville Fm
Whitewater Fm
Whitewater fm
Whitewood fm
Whittaker Fm
Widder Beds
Widder Fm
Wiggins Fm?
Wilberns Fm
Wilcox Fm
Wildcat Peak Fm
Wilkes Fm
Willamette Fm
Willard Sh
Williams Fork Fm
Williamson Sh
Williamsport Fm
Williamsville
Williamsville Fm
Williamsville Waterlime
Williston Ls
Wills Creek Sh
Wills Point Fm
Willwood Fm
Willwood Fm?
Wiltz Fm
Winchell Ls
Wind River Fm
Wind River Fm?
Winfield Ls
Winooski Fm
Winterset Ls
Winthrop Formation
Winthrop Ss
Wiscoy Fm
Wise
Wise Fm
Wissenbach Slate
Wolf Mountain Sh
Wolf River Ls
Wolfcamp Fm
Wolfcamp Fm?
Wolfe City Fm
Wolfville Fm
Wonewoc Fm
Wood Canyon Fm
Wood Siding Fm
Woodbine Fm
Woodbine Ss
Woodbury Clay
Woodbury Fm
Woodford Chert
Woodford Sh
Woods Hollow Sh
Woolhope Ls
Word Fm
Word Fm?
Wordie Creek Fm?
Wreford Ls
Wulongqing Fm
Wushan Ls
Wyandotte Fm
Wyandotte Ls
Xiaowa Fm
Yabu Fm
Yahatinda
Yakoun Fm
Yamanouchi Fm
Yanghukou Fm
Yaokou Fm
Yazoo Clay
Yehli Fm
Yellowstone Fm
Yerbal Fm
Yeso Fm
Yixian
Yixian Fm
Yorktown Fm
Youdale Sh
Yuanchu Fm
Yu-huang-ding fm
Zahorany Fm
Zao-shi Fm
Zeandale Ls
Zechstein
Zechstein Fm
Zhujiaqing Fm
Zlambach Beds
Zorrillo Fm
Zorritos Fm
