"""lettered sands member"""
Abrigo Lower Mbr
Abrigo Ribbon Ls Mbr
Abrigo Rincon Ls Mbr
Adams Branch Ls Mbr
Ahearn Mbr
Alcova Ls Mbr
Allen Hollow Sh Mbr
Almagre Mbr?
Alpha Mbr
Altamont Ls Mbr
Amazonia Ls Mbr
Americus Ls Mbr
Americus Mbr
Ames Ls Mbr
Ames Sh Mbr
Amity Sh Mbr
Amity Sh Mbr?
Ammonite Hills Mbr
Amoret Ls Mbr
Apulia Mbr
Argentine Ls
Argentine Ls Mbr
Argentine Mbr
Asbury Park Mbr
Ashdown Mbr
Avant Mbr
Avis Ss Mbr
Avoca Ls Mbr
Avoca Mbr
Bankston Fork Ls Mbr
Barge Canal Mbr
basal Robbins Sh
Bashi Marl Mbr
Bay de Noc Mbr
Bear Den Mbr
Bear Gulch Mbr
Becscie zone 1
Becscie zone 1-3
Becscie zone 14
Becscie zone 2
Becscie zone 3
Becscie zone 3-4
Becscie zone 4
Bee Branch Mbr
Beech River Ls Mbr
Beechwood Mbr
Beil Ls Mbr
Beil Mbr
Belanger Mbr
Belcor Mbr
Bellevue Mbr
Bells Landing Marl Mbr
Bennett Sh
Bennett Sh Mbr
Berwyn Sh
Beta 1 Mbr
Beta 6 Mbr
Beta 7 Mbr
Beta Mbr
Bethany Falls Ls
Bethany Falls Ls Mbr
Bethany Falls Mbr
Bickett Sh Mbr
Big Sand Draw Ss Lentil
Big Springs Ls
Big Springs Ls Mbr
Big Springs Mbr
Bimber Run Cgl Mbr
Bishop Brook Mbr
Black Duck Mbr
Black Ven Marl Mbr
Blackjack Knob Mbr
Blacks Fork Mbr
Blue Hill Mbr
Bob Ls Mbr
Boggs Sh Mbr
Bolsa Upper Mbr
Bolsa Worm Boring Mbr
Bone Basin Mbr
Bone Canyon Mbr
Bone Spring Ls
Bradford Clay
Brandon Bridge Mbr
Brannon Mbr
Breckenridge Ls Mbr
Breien Mbr
Brentwood Ls Mbr
Brereton Ls Mbr
Brooks Ranch Mbr
Brownville Ls
Brownville Ls Mbr
Brownwood Sh Mbr
Brush Creek Ls Mbr
Brush Creek Sh Mbr
Brushy Basin Mbr
Brushy Basin Member
Buckhorn Asphalt
Bugti Mbr
Burge Mbr
Burgess Sh Mbr
Burlingame
Burlingame Mbr
Burr Mbr
Burroak Sh Mbr
Bushberg Ss Mbr
Butternut Sh Mbr
Button Mold Knob Mbr
Cabot Head Sh Mbr
Cacapon Ss Mbr
Calcitic Shale Mbr
Cambridge Ls
Cambridge Ls Mbr
Camels Butte Mbr
Camp Colorado Ls
Camp Colorado Ls Mbr
Camp Creek Sh Mbr
Camp Mbr
Candor Sh Mbr
Cane Hill Mbr
Cap Rock Mbr
Capps Ls Mbr
Captain Creek Ls Mbr
Captain Creek Mbr
Cardiff Sh Mbr
Carimona Mbr
Carthage Ls Mbr
Cathedral Bluffs Mbr
Cayuta Sh Mbr
Cayuta Sh Mbr?
Cayuta Ss Mbr
Cayuta Ss Mbr?
Cedar Creek Mbr
Cement City Ls Mbr
Cement City Mbr
Centerfield Ls Mbr
Cerithium Limestone
Cerro Gordo Mbr
Chai-li Mbr
Chalk Creek Mbr
Chappo Mbr
Chenango Ss Mbr
Cherry Valley Ls Mbr
Cherryvale Sh Mbr
Cheyenne Ss
Chico Ridge Ls Mbr
Chicotte zone 1
Chicotte zone 10 sensu J. Ross
Chicotte zone 2
Chicotte zone 2 sensu J. Ross
Chicotte zone 6
Chicotte zone 8
Chicotte zone 9
Chorhat Ss Mbr
Church Mbr
Clark Reservation Mbr
Clark Reservation Mbr?
Clarksville Mbr
Clegg Creek Mbr
Clermont Sh Mbr
Cliffwood Mbr
Clifton Forge Mbr
Clonbinane Mbr
Coal Creek Mbr
Coalville Mbr
Cobleskill Mbr
Coeymans Ls Mbr
Coleman Junction Ls Mbr
Colgate Mbr
College Hill Ls
Columbian Ls Mbr
Conewago Mbr?
Confederate Ls Mbr
Conococheague basal sandy mbr
Cooley Dolomite Mbr
Coon Creek Mbr
Coon Creek Tongue
Cooperstown Sh Mbr
Coralville Limestone mbr
Coralville Limestone Mbr
Corryville Ls Mbr
Corryville Sh Mbr
Cottonwood Mbr
Cow Branch upper Mbr
Cravatt Mbr
Crazy Johnson Mbr
Crinerville Ls
Crookston Bridge Mbr
Cross Mbr
Croweburg Coal
Cucullaea Assemblage Zone
Cummingsville Mbr
Curzon Mbr
Custards Mbr
Cybele Mbr
Cyrene Mbr
Danville Coal Mbr
Darlington Sh Mbr
Da-tang Mbr
Daube Ls Mbr
Daurau Mbr
Dawson Bay fm
Deansboro Mbr
Death Canyon Mbr
Deep Run Sh Mbr
Delaware Creek Mbr
Delphi Station Mbr
Deltadalen Mbr
Denmark Mbr
Devil's Gulch Mbr
Dictyocaris Mbr
Dock Street Clay Mbr
Doniphan Sh Mbr
Dover Mbr
Dozier Ss Mbr
Drumcliff Mbr
Dry Hollow Mbr
Du Bois Ls Mbr
Du Bois Mbr
DuBois Ls Mbr
Dunbar Creek Mbr
Duncannon Mbr
Dunfee Mbr
Dunn Hill Mbr
Durham Mbr A
East Mountain Sh Mbr
Economy Mbr
Edgecliff mbr
Edgecliff Mbr
Ediacara Mbr
Edmonton Mbr B
Eiss Ls Mbr
Eldridge Creek Mbr
Elgin Mbr
Elk Basin Ss Mbr
Elk Butte Mbr
Ellicott Creek Breccia Mbr
Ellis Bay Mbr 6
Ellis Bay zone 1
Ellis Bay Zone 10
Ellis Bay Zone 11
Ellis Bay zone 13
Ellis Bay Zone 14
Ellis Bay zone 1-4
Ellis Bay Zone 15
Ellis Bay zone 2
Ellis Bay zone 2 and 5
Ellis Bay Zone 21
Ellis Bay Zone 2-4
Ellis Bay Zone 2-5
Ellis Bay Zone 3
Ellis Bay Zone 3b or 5
Ellis Bay zone 4
Ellis Bay zone 4-5
Ellis Bay zone 4-6
Ellis Bay zone 5
Ellis Bay zone 6
Ellis Bay zone 7
Ellis Bay zone 7 or 8
Ellis Bay zone 8
Ellis Bay zone 9
Elmo Ls Mbr
Elmwood Mbr
Elmwood Mbr?
Emigsville Mbr
Energy Sh Mbr
English Head zone 1
English Head zone 10
English Head Zone 12
English Head zone 2
English Head Zone 2 & 3
English Head zone 3
English Head zone 3-4
English Head zone 4
English Head Zone 4?
English Head Zone 5
English Head Zone 6
English Head Zone 7
English Head Zone 9
English Head zone 9
Eramosa Mbr
Ervine Creek Mbr
Eskridge Sh Mbr
Esmeralda Mbr
Eudora Sh Mbr
Evacuation Creek Mbr
Ewing Ls Mbr
Fairmount Ls Mbr
Fairport Chalk Mbr
Falkirk Mbr
Falls City Ls
Faringdon Sponge Gravel Mbr
Farley Mbr
Farmers Mbr
Farmers Mills Mbr
Farmington Sandstone Mbr
Ferdig Mbr
Fiddlers Green Dol Mbr
Finis Sh Mbr
Five Point Ls Mbr
Flat Gap Ls Mbr
Fleury Mbr
Florena Sh
Florena Sh Mbr
