GEO.Webster's New Geogr. Dict.
GNIS.Arizona
GNIS.Iowa
GNIS.Minnesota
GNIS.Montana
GNIS.New York
GNIS.North Carolina
GNIS.Oklahoma
GNIS.Tennessee
GNIS.Texas
GNIS.Wyoming
IP
PB
"PB.BRG: Kent, 1980"
"PB.BRG: Melville & Freshney, 1982"
PB.Gensel & Andrews
PB.Johnson
PB.Stewart & Rothwell
STR.Elsevier Geol. Time Scale
STR.USGS Geonames
VP
VP.Dinosauria
VP.Savage & Russell
