Brochure
Card file
Catalog of identifications
CODEN
Digital only
Dissertation
DLC
DOI
Faunal list
Field notes
Floral list
FY13
FY14
FY15
FY16
FY17
FY18
FY19
FY20
FY21
FY22
FY23
FY24
FY25
FY26
FY27
Guidebook
Highway map
ISBN
ISSN
Locality information
Location map
Manuscript material
Map
OCLC
Other
"Papers, notes, correspondence"
Photographs
Senior Thesis
Sketch
Topographic map
Type reprint
Wikidata
