"""Anton Bruun"", Cruise 7"
"""Beadle"""
"""Clara C."""
"""D.J.S."""
"""Loven"""
"""Poseidon"" Expedition"
10 Tons
"10th International Geological Congress, Mexico, 1906"
10tons
"12th Expedition of the Department of Tropical Research, New York Zoological Society"
"17th International Geological Congress, Moscow, 1937"
"18th International (Geological) Congress, London, 1948"
1916 USGS Expedition to southwestern Idaho
1924 Smithsonian-Grand Canyon Expedition
1926 Smithsonian-Grand Canyon Expedition
1947 SVP Field Conference
1961-62 British-South African Expedition to the Upper Triassic of South Africa and Basutoland
"1966-1967 South African Museum, Yale, British Museum South African Expedition (northern group)"
"1966-1967 South African Museum, Yale, British Museum South African Expedition (southern group)"
"1967 Canadian Expedition, The Science Museum of Minnesota"
1974 Dodson Wyoming Expedition
1987 Soviet-Mongolian Paleontological Expedition
2007 Beardsley Zoo/Peabody Museum BioBlitz Botany Team
2007 Beardsley Zoo/Peabody Museum Bioblitz Herpetology Team
2007 Beardsley Zoo/Peabody Museum BioBlitz Ichthyology Team
2007 Yale Ichthyology Field Trip
2008 Beardsley Zoo/Peabody Museum Bioblitz Herpetology Team
2008 Beardsley Zoo/Peabody Museum BioBlitz Ichthyology Team
2009 Beardsley Zoo/Peabody Museum BioBlitz Ichthyology Team SUMMER
2009 Beardsley Zoo/Peabody Museum BioBlitz Ichthyology Team WINTER
2009 Beardsley Zoo/Peabody Museum BioBlitz Mammalogy Team WINTER
2010 Rapid Assessment Survey
2010 Stratford BioBlitz Herpetology Team
2010 Stratford BioBlitz Ichthyology Team
"2010, Sargis, Chester Field Party"
"2011, Sargis, Chester Field Party"
"2012, Sargis Field Party"
2013 White Memorial BioBlitz
"2013, Sargis, Chester Field Party"
"2014, Sargis, Chester Field Party"
"2016, Sargis, Chester Field Party"
"2018 Yale Invertebrate Zoology Class, E&EB255L"
"2050 Art Services, Inc"
"20th International Geological Congress, Mexico City, 1956"
3D Modeling for Creative Practice
"3rd East African Archaeological Expedition, 1931-1932"
"4th East African Archaeological Expedition, 1934-1935"
A & T.W Stanley
Ö la Libraire EncyclopÇdique de Roret
A. A. Balkema
"A. and W. Head, Inc."
A. Claudet
A. Darlot
A. de Zeltner Collection
A. E. Verrill and class
A. E. Verrill and party
A. E. Verrill Bermuda Expedition 1898
A. E. Verrill Bermuda Expedition 1898 or 1901
A. E. Verrill Bermuda Expedition 1901
A. E. Verrill Expedition of 1864
A. E. Verrill Expedition of 1868
A. E. Verrill Expedition of 1868 - 1870
A. E. Verrill Expedition of 1868 or 1870
A. E. Verrill Expedition of 1870
A. H. Richie
A. Hoen & Co
A. Molteni
A. Vantine & Company
A. Wright and Co.
A. Ziemsen Verlag
"A.A. Graham & Co., Publishers"
A.A. Lockwood Estate
A.E. Seaman Mineral Museum of Michigan Tech
A.J. Johnson Company
A.L Brancroft and Company
A.T. Andreas
A.T. Thompson & Co. Manufacturers
Aberthaw Construction Company
Abrams Instrument Company
Absentee-Shawnee Tribe of Indians of Oklahoma
Abu Dhabi Islands Archaeological Survey
Academia Brasileira de Ciàncias
Academia Sinica. National Research Institute of Geology
Academic Press
Academie Royale de Belgique
Academy of Natural Sciences (ANSP): Department of Ichthyology
Academy of Natural Sciences of Philadelphia (ANSP)
"Academy of Natural Sciences, Botany (PH)"
"Academy of Natural Sciences, Philadelphia"
Academy of Sciences of the USSR. Siberian Branch. Institute of Geology and Geophysics
Academy Press
Accuracy Scientific Instrument Co (ASICO)
Acme
ACME Water Color Co.
Ad Hoc Trash
Adam Hilger Ltd
ADBC TCN Macroalgal Digitization Project
Addison-Wesley
Adelphi University
Advanced Akkadian: Women in Ancient Mesopotamia
Advanced Drawing
Advanced Metals Research Corporation
Advanced Modern Standard Arabic II
Advanced Studio
Africa Mineral Inc
African Gem Store
"Agama International, Inc."
Age of Akhenaton
Agricultural Research Administration.
Agriculture and Agri-Food Canada
Aha Moku Maui Inc.
Aha Moku O Kahikinui
Ahahui Siwila Hawaii O Kapolei
Ahern's collector
"Ahtna Corporation, Alaska (Regional Corporation)"
Aiken's Museum
Aimant Jamin Btf SCDC
Ais Indian Project
"Ak Chin Indian Community of the Maricopa Indian Reservation, Arizona"
Akademie der Wissenchaften und der Literatur
Akademii Nauk Kazakhsoi S.S.R.
Akademiya Nauk SSSR
"Alabama Department of Conservation and Natural Resources (ADCNR), Wildlife and Freshwater Fisheries Division"
Alabama Geological Survey
Alabama-Coushatta Tribe of Texas
"Alabama-Quassarte Tribal Town, Oklahoma"
Alan R. Liss
Alaska Commercial Company
Alaska Fur Company
Alaska Native Heritage Center
Alaska Wildlife Response Center
Albanese Minerals
Albatross Cruise 98-11
Albert Nestler A.-G. LahriB.
Albert Ott Mathematical and Mechanical Instrument Works
Alberta Society of Petroleum Geologists
Albertus Magnus College
"Albrecht von Haller Institute of Plant Sciences, Universitat Gottingen (GOET)"
Albuquerque BioPark Zoo
Aldine De Gruyter
Aldine-Atherton
"Aldrovandi Museum, University of Bologna"
"Aleut Corportion, Alaska (Regional Corporation)"
"Alexandre Leal Costa Herbarium, Universidade Federal da Bahai (ALCB)"
Allegheny Observatory
Allegheny Plastics Inc
Allen B. Dumont Laboratories Inc
Allen Bradley Co
Allen Press
Allens Minerals
Alonzo H. Stevens Collection of Indian Antiquities
Alpha Helix Expedition
Altec Lansing Co.
Alutiiq Museum and Archaeological Repository
Amazon Reptile
Amber Company
Ambystoma Genetic Stock Center (at University of Kentucky)
American Anthropological Association
American Antiquarian Society
American Art Association
American Association for the Advancement of Science
American Association of Petroleum Geologists
American Association of Physical Anthropologists
American Assoication of Physical Anthropologists
American Cereal Company
American Community School at Beirut
American Geographical Society
American Geological Institute
American Geophysical Union
American Hair and Felt Association
American Indian Archaeological Institute
American Journal of Science
American Molded Prod. Co.
American MPM Works
"American Musem Indian Expedition, 1922"
American Museum 1908 Expedition to Alaska
American Museum Chinese Expedition 1957-58
"American Museum Expedition, 1902"
"American Museum Expedition, 1903"
"American Museum Expedition, 1905 (Bridger Basin)"
"American Museum Expedition, 1907 (Fayum)"
"American Museum Expedition, 1907 (Montana)"
"American Museum Expedition, 1908 (Fayum)"
"American Museum Expedition, 1908 (Montana)"
"American Museum Expedition, 1909"
"American Museum Expedition, 1909 (Fayum)"
"American Museum Expedition, 1910, Eocene of Wyoming"
"American Museum Expedition, 1911, Eoecene of Wyoming"
"American Museum Expedition, 1912 (western US)"
"American Museum Expedition, 1916 (western US)"
"American Museum Expedition, 1922 (Wyoming)"
"American Museum expeditions (western United States, undifferentiated)"
"American Museum New Mexico Expedition, 1913"
American Museum of Natural History
American Museum of Natural History - Mineralogy
American Museum of Natural History (AMNH)- Herpetology
American Museum of Natural History (AMNH)- Ichthyology
American Museum of Natural History 1947 Ghost Ranch party
American Museum of Natural History 1948 Ghost Ranch party
American Museum of Natural History Library
American Museum Press
"American Museum Wyoming Expedition, 1913"
"American Optical Company, Scientific Instrument Division"
American Oriental Society
American Ornithologists' Union
American Ostrich Co.
American Over-Seas Pet. Ltd.
American Philosophical Society
American Photo Relief Printing Co.
American School of Prehistoric Research
American Scientist
American Society of Ichthyologists and Herpetologists (ASIH)
American Transit of Venus Exped. 1874-1875
American-Thai Trading
Amerind Publishing Co.
Ametek US Gauge
Amherst College
Amherst College Museum
Amherst Patagonian Expedition (1911)
AMLR 2009 Antarctic Fish Cruise on RV Yuzhmorgeologiya
AMMH 1899 Jurassic of Wyoming Expedition
AMNH 1902 Lull-Brown Expedition
Amperex
Amphitrite Expedition
Amphora Press
AMPTO Inc
An Orchard Lisle Industrial Publication
Analysis of Lithic Technology
Anchorage Museum
Ancient City Press
Ancient Egyptian materials and techniques: their histories and socio-economic implications
Ancient Medicine and Disease
Ancient Mesopotamia: The First Half of History
Ancient of Days
Anderson Auction Company
Angell & Cash
Animal Houses
Animal Kingdom
Anneliese's Gems & Jewelry
ANT Renovation Move Crew
Ant. Hartinger & Sohn
Antarctic Marine Living Resources
"Antarctic Marine Living Resources Cruise 2009, Leg I"
"Antarctic Marine Living Resources Cruise 2009, Leg II"
Anthony Finley
Anthropology of Outer Space
Anthropology Society of Harvard University
Antioch and Dura-Europos
Antiquity Publications Ltd.
"ANTS, Inc."
