administrator
adopted father
adopted son
advisee
advisor
alias
aunt
brother
brother-in-law
captain
classmate
collaborator
course coordinator
cousin
crew
curator
daughter
daughter-in-law
employer
Executive Director
father
father-in-law
funder
grand uncle
granddaughter
grandfather
grandmother
grandson
great granddaughter
great grandfather
great grandson
great nephew
great uncle
guest instructor
half brother
half sister
husband
instructor
member
mother
mother-in-law
nephew
niece
owner
real name
relative
same person
same person?
sister
sister-in-law
son
son-in-law
spouse
staff
stepmother
stepson
student
supervisor
teaching fellow
trustee
uncle
unknown
wife
