AFST
AMST
Animal and Plant Health Inspection Service (APHIS)
ANTH
Anthropology
APHY
ARBC
ARCG
ARCH
ART
Aves
BIOL
Bridgeport History Center
Center for Functional Anatomy and Evolution
CHEM
CLCV
CLSS
CPLT
CPSC
CSBK
CSJE
CSSY
CSYC
Department of Geology and Geological Enginnering
Department of Paleontology and Geology
Departmento de Biologia
DIV
"Division de Bot†nica, Herbario San Marcos (USM)"
Division of Birds
Division of Mammals
E&EB
EAST
EDST
EEB
ENAS
ENGL
ENV
EPS
ER&M
EVST
Fisica Aplicada
FREN
Geology
GLBL
HEBR
"Herbario (SGO), Secci¢n Bot†nica"
Herbarium
Herbarium (KUN)
HIST
History of Art
HSAR
HSHM
HUMS
Institue for History of Knowledge in the Ancient World
Institut fÅr Evolution & ôkologie
"Institute of Agriculture, Entomology & Plant Pathology"
Institute of Prehistoric Archaeology
Landcare Research Group
Mammalogy
MCDB
MENG
MGT
MHHR
Mineralogy & Meteoritics
Museum of Biology
Nagoya University Museum
NELC
North Carolina Botanical Garden
Ornithology
PERS
REDM
REL
RLST
RSEE
"Seminar fÅr Vorgeschichteˇ[Department of Prehistory] (which is now known as, Abteilung fÅr Ur- und FrÅhgeschichtliche ArchÑologie)"
SPAN
Staff
