Abbe
Admiral
Archdeacon
Baron
Brigadier General
Brother
Canon
Captain
Cockswain
Colonel
Commander
Commodore
Corporal
Count
Deaconess
Doma
Don
Dr.
Ensign
Father
Frere
General
Gouverneur
Honorable
Judge
Lady
Lieut.
Lord
Madam
Madame
Major
Marquis
Miss
Missionary
Monsieur
Mr.
Mrs.
Ms.
Pastor
Pere
PŠre
Prince
Princessa
Prof.
Queen
Rev.
Reverend
Senator
Senor
Sergeant
Sir
Sister
